RA [deg]	DEC [deg]	Field id	source id	period [h]	period error [h]	amplitude [%]	amplitude error [%]
37.333280	60.635943	l135	1005	3.90673	0.18427	22.8758	1.0001
38.282991	60.533324	l135_5	0590	0	   0	0.0000	0.0000
40.705699	59.907358	l136_5	0580	4.17311	0.27146	14.2206	0.7305
95.232793	14.066486	l197	0869	4.66648	0.15683	13.3238	0.4351
95.118729	14.110019	l197	1077	4.00942	0.12334	19.3053	0.7501
38.445830	60.216114	l135_5	0148	0	   0	0.0000	0.0000
42.841927	59.444976	l138_0	1384	0	   0	0.0000	0.0000
38.354519	60.538422	l135_5	0630	0	   0	0.0000	0.0000
95.592350	13.913786	l197	0164	0	   0	0.0000	0.0000
47.928433	58.269498	l140_5	0479	0	   0	0.0000	0.0000
40.772906	59.909695	l136_5	0576	2.61808	0.05904	24.7547	1.3269
95.328036	15.070476	l196	1287	0	   0	0.0000	0.0000
94.924013	15.254160	l196	1416	0	   0	0.0000	0.0000
94.696296	15.409189	l196	1637	0	   0	0.0000	0.0000
95.386682	14.221445	l197	1844	0	   0	0.0000	0.0000
95.782350	13.493444	l198	2640	0	   0	0.0000	0.0000
40.754663	59.917699	l136_5	0599	3.40076	0.03035	4.0715	0.0695
40.754663	59.917699	l136_5	0599	1.13934	0.02049	0.5852	0.0671
49.764105	57.368522	l141_5	0276	3.06198	0.03942	2.4346	0.0615
49.764105	57.368522	l141_5	0276	1.32637	0.03279	0.4923	0.0607
95.592772	13.902071	l197	0098	2.46032	0.00434	10.7444	0.0613
95.592772	13.902071	l197	0098	1.11205	0.00168	6.4822	0.0582
95.592772	13.902071	l197	0098	0.90110	0.00128	4.9338	0.0575
95.592772	13.902071	l197	0098	4.53940	0.07998	4.4579	0.0678
43.133753	59.413616	l138_0	1194	1.30769	0.00504	1.4878	0.0403
43.133753	59.413616	l138_0	1194	4.28736	0.15554	0.7079	0.0403
43.133753	59.413616	l138_0	1194	0.85818	0.00601	0.5918	0.0395
48.993541	57.444842	l141_5	0301	1.37775	0.00334	13.3256	0.1364
48.993541	57.444842	l141_5	0301	0.68238	0.00213	4.9678	0.1357
95.163137	13.991168	l197	0371	3.27161	0.04102	1.6888	0.0289
95.163137	13.991168	l197	0371	1.87584	0.01461	0.9805	0.0289
95.163137	13.991168	l197	0371	1.24639	0.01522	0.4537	0.0284
95.477955	13.971332	l197	0456	1.82732	0.02514	1.1959	0.0436
95.477955	13.971332	l197	0456	0.96262	0.01617	0.3843	0.0428
95.622290	14.136967	l197	1499	4.03431	0.07458	1.2409	0.0274
95.622290	14.136967	l197	1499	1.00501	0.00889	0.5156	0.0289
95.446866	14.259692	l197	2118	3.34875	0.05284	1.2333	0.0361
95.446866	14.259692	l197	2118	1.58749	0.02057	0.8401	0.0354
95.810744	13.400288	l198	2133	2.43468	0.02722	9.6484	0.2918
95.905271	13.415084	l198	2268	0	   0	0.0000	0.0000
41.127164	59.869956	l137_0	1084	3.61363	0.08582	3.1409	0.1091
47.330529	58.343840	l140_0	0760	4.27894	0.05490	17.1579	0.2095
48.972665	57.573592	l141	0125	3.14073	0.04488	13.9297	0.4244
48.972840	57.574063	l141_5	0448	3.16263	0.03155	12.5283	0.2477
95.291997	14.823305	l196	0507	2.96466	0.01380	21.3562	0.2284
95.291997	14.823305	l196	0507	1.43872	0.01942	4.1001	0.2342
95.291997	14.823305	l196	0507	0.98950	0.01939	1.7793	0.2327
95.291997	14.823305	l196	0507	2.03346	0.22908	0.7312	0.2316
95.688820	14.279557	l197	2374	4.98231	0.39134	15.8113	0.6121
95.827536	13.095772	l198	0482	3.76433	0.04597	17.3904	0.2832
96.148463	13.264901	l198	1593	4.40822	0.00509	16.2188	0.0192
